Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Vanderbilt,51.2,49.3,60.0,51.0,52.0,38.2
2,Richmond,49.3,51.7,62.0,49.3,--,30.4
3,Illinois,49.0,46.0,42.0,50.2,42.0,39.8
4,Georgia,48.4,45.7,40.0,49.2,46.5,36.5
5,Gonzaga,48.0,49.7,45.0,49.7,46.3,41.5
6,Louisville,47.8,40.0,33.0,51.8,28.0,37.6
7,Butler,47.5,41.7,44.0,53.3,41.7,36.0
8,S Florida,47.4,50.0,45.0,48.0,47.0,34.4
9,LSU,46.8,47.7,50.0,46.8,--,32.9
9,Indiana,46.8,40.0,34.0,44.5,56.0,35.4
11,IU Indy,46.4,45.0,49.0,53.0,45.3,34.4
12,Michigan,46.0,38.0,45.0,52.5,41.7,38.2
13,Baylor,45.8,45.7,44.0,46.3,44.0,34.4
14,Virginia,45.7,47.7,42.0,48.0,41.0,31.3
14,Arkansas,45.7,45.0,47.0,47.0,39.0,36.9
16,Miami,45.5,42.3,50.0,48.8,29.0,33.9
17,Florida St,45.4,41.0,40.0,46.8,40.0,33.0
17,Iowa St,45.4,46.0,43.0,43.7,48.0,37.6
19,Missouri,45.3,44.7,53.0,46.0,42.0,40.8
20,Duke,45.3,46.7,52.0,48.8,40.7,40.9
21,Tennessee,45.0,46.0,56.0,42.8,56.0,34.1
21,High Point,45.0,44.3,46.0,45.0,45.0,39.5
21,Alabama,45.0,41.3,42.0,44.5,45.3,43.4
24,Iowa,44.8,44.7,40.0,44.8,--,39.2
25,St John's,44.6,41.7,45.0,44.5,45.0,35.9
26,Oklahoma St,44.5,42.7,47.0,44.5,--,33.9
27,Saint Mary's,44.4,46.3,47.0,44.4,--,34.3
28,Yale,44.3,42.0,46.0,43.0,44.8,37.4
29,Elon,44.2,44.7,44.0,49.0,43.0,34.8
29,Ohio St,44.2,36.7,49.0,44.2,--,35.5
31,SMU,44.0,47.0,46.0,44.0,--,38.5
31,Saint Louis,44.0,41.7,44.0,44.0,--,34.9
31,UConn,44.0,37.7,37.0,44.2,43.0,35.7
31,Wisconsin,44.0,40.0,33.0,46.8,33.0,38.4
35,Kent St,43.7,42.3,42.0,46.0,38.0,35.5
36,Florida,43.6,40.0,44.0,44.3,42.5,39.8
37,VCU,43.4,43.3,54.0,48.7,35.5,36.3
37,Villanova,43.4,44.7,37.0,49.3,34.5,35.2
39,G Washington,43.3,45.0,49.0,42.8,44.0,33.5
40,UNLV,43.2,41.3,30.0,45.0,39.5,33.0
40,Arizona,43.2,39.7,56.0,48.7,37.7,40.1
42,W Kentucky,43.0,43.0,51.0,46.0,37.0,32.7
42,Kennesaw St,43.0,43.0,40.0,41.0,44.0,33.9
44,NC State,42.8,39.7,33.0,45.3,33.0,34.3
45,Purdue,42.7,45.7,49.0,42.7,42.7,36.9
45,Charleston So,42.7,46.3,37.0,61.0,39.0,32.2
45,Texas A&M,42.7,43.3,55.0,45.4,29.0,34.8
45,Kentucky,42.7,41.3,50.0,45.8,36.5,39.3
49,Miami OH,42.5,44.3,56.0,43.3,40.0,38.1
50,Liberty,42.3,42.3,40.0,43.5,40.0,35.7
51,BYU,42.2,37.0,45.0,46.0,39.7,39.0
52,Utah,42.0,39.3,39.0,42.0,--,35.4
52,Kansas St,42.0,39.3,35.0,43.3,39.5,33.6
54,Cornell,41.8,40.7,37.0,38.0,44.3,41.5
55,Seattle,41.6,42.7,37.0,42.8,37.0,32.9
55,Utah St,41.6,40.7,48.0,37.5,44.3,37.3
57,Northwestern,41.3,38.0,36.0,44.7,38.0,31.6
58,Creighton,41.2,40.0,36.0,44.0,37.0,37.2
58,TCU,41.2,41.7,51.0,41.2,--,33.0
60,Duquesne,41.2,40.0,38.0,43.5,36.5,32.5
61,Providence,41.0,36.0,32.0,43.3,38.7,33.2
61,Dayton,41.0,42.7,44.0,45.3,32.5,33.8
61,Virginia Tech,41.0,41.0,32.0,41.3,40.0,32.9
64,Oklahoma,40.8,42.7,35.0,41.0,40.5,36.0
65,Michigan St,40.8,43.7,41.0,40.0,44.0,35.9
66,Auburn,40.7,42.3,37.0,43.0,36.0,39.2
66,Akron,40.7,42.7,37.0,38.5,41.8,39.2
68,Mississippi,40.6,37.0,31.0,40.6,--,36.4
69,Nebraska,40.5,44.0,45.0,37.0,44.0,34.8
70,Colorado St,40.4,37.7,33.0,42.3,33.0,34.4
71,North Carolina,40.2,40.3,38.0,40.2,--,38.0
71,Longwood,40.2,43.0,42.0,43.7,35.0,34.8
71,Colorado,40.2,42.7,43.0,40.2,--,31.3
74,CS Northridge,40.0,42.7,51.0,51.0,36.3,38.1
74,Winthrop,40.0,41.0,32.0,50.0,38.0,38.1
76,Iona,39.9,33.0,36.0,42.7,37.8,33.6
77,Houston,39.8,41.0,37.0,40.8,38.0,36.3
77,Texas Tech,39.8,34.0,26.0,48.7,31.0,39.1
79,Grand Canyon,39.8,37.7,41.0,42.5,29.0,38.1
80,Mercer,39.8,46.0,53.0,46.0,37.7,34.3
81,Texas,39.7,38.7,34.0,42.8,33.5,36.3
82,UCSB,39.5,37.7,28.0,42.5,36.5,34.5
83,Oral Roberts,39.4,34.0,39.0,44.0,36.3,33.3
84,McNeese,39.3,41.3,40.0,37.0,40.0,35.0
84,Penn,39.3,40.0,43.0,41.0,38.7,32.2
