Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Duke,+17.9,+12.3,+3.0,+17.3,+18.7,+9.7
2,LSU,+17.6,+15.0,+13.0,+17.6,--,-1.0
3,Gonzaga,+16.5,+15.3,+7.0,+32.3,+0.7,+7.5
4,Miami,+15.8,+13.7,+25.0,+19.8,-4.0,-2.2
5,Belmont,+15.2,+18.3,+29.0,+9.0,+24.5,-0.6
6,Saint Louis,+15.0,+16.0,+16.0,+15.0,--,+0.4
7,St John's,+14.6,+19.0,-3.0,+19.0,-3.0,+7.6
8,Missouri,+13.8,+13.3,+23.0,+15.6,+5.0,+3.1
9,North Carolina,+13.8,+12.0,+5.0,+13.8,--,+4.2
10,Louisville,+13.5,+16.3,+25.0,+13.4,+14.0,+2.2
11,Wichita St,+13.4,+9.3,+19.0,+16.3,+2.0,+0.3
11,Syracuse,+13.4,+10.0,+3.0,+13.0,+14.0,-2.6
13,NC State,+13.0,+9.7,-9.0,+18.5,-9.0,-2.4
14,Akron,+12.7,+14.3,+6.0,+19.0,+9.5,+2.9
15,Iowa St,+12.6,+8.3,+3.0,+20.7,+0.5,+6.8
16,Seton Hall,+12.5,+12.3,+9.0,+13.2,+9.0,-2.5
17,Florida St,+12.0,+7.0,+15.0,+16.3,-5.0,+1.5
18,Georgia,+11.9,-0.7,+1.0,+18.6,-5.0,+0.4
19,Marshall,+11.5,+12.3,+5.0,+13.3,+9.7,+2.0
19,California,+11.5,+12.0,+10.0,+10.2,+18.0,+0.9
21,George Mason,+11.0,+9.3,+4.0,+12.8,+4.0,+2.5
22,Oklahoma St,+10.8,+7.3,-1.0,+10.8,--,-1.8
23,E Tennessee St,+10.8,+16.0,+21.0,+13.3,+7.0,+3.2
24,SMU,+10.7,+15.7,+9.0,+10.7,--,+3.5
25,Oklahoma,+10.7,+3.3,+17.0,+18.3,-4.5,+3.9
26,Virginia Tech,+10.6,+6.7,+9.0,+11.8,+6.0,-2.9
27,BYU,+10.4,+15.0,+16.0,+16.0,+6.7,+2.6
27,Michigan,+10.4,+17.7,+28.0,+15.5,+7.0,+2.7
29,Auburn,+10.3,+9.7,+11.0,+12.0,+7.0,+6.2
30,Iowa,+10.2,+10.3,+23.0,+10.2,--,+0.6
30,Utah St,+10.2,+15.7,+16.0,+10.0,+10.3,+3.7
32,G Washington,+10.1,+4.7,+5.0,+16.0,+2.3,+1.4
33,Bowling Green,+10.0,+1.3,-6.0,+17.7,-1.5,-1.1
34,Kentucky,+9.7,+10.0,+12.0,+14.8,-0.5,+4.9
35,Wisconsin,+9.6,+6.7,-16.0,+16.0,-16.0,+3.4
35,TCU,+9.6,+6.3,+13.0,+9.6,--,-2.0
37,Vanderbilt,+9.4,+12.3,+8.0,+12.8,-4.0,0.0
37,VCU,+9.4,+7.7,+17.0,+14.3,+2.0,+6.3
39,Tennessee,+9.2,+6.0,-1.0,+11.2,-1.0,+6.5
40,USC,+8.8,+2.3,+1.0,+12.3,+3.5,-0.2
40,Colorado St,+8.8,+3.7,+6.0,+10.8,+1.0,+3.6
42,Tulsa,+8.8,+8.3,+16.0,+16.0,+6.3,-2.8
43,Loyola Mymt,+8.5,+4.7,-4.0,+9.7,+7.3,-1.8
43,Hou Christian,+8.5,+8.5,+21.0,+21.0,-4.0,-4.6
45,Wake Forest,+8.2,+10.3,+7.0,+9.7,+6.7,+2.3
46,Saint Mary's,+8.0,+6.0,+5.0,+8.0,--,+4.6
46,S Florida,+8.0,+6.3,-9.0,+22.5,-1.7,-1.1
46,Ohio St,+8.0,+9.7,+8.0,+8.0,--,+3.5
46,Arkansas,+8.0,+6.3,+26.0,+10.8,-6.0,+4.1
50,Marquette,+7.9,+2.3,+9.0,+10.0,-5.0,+4.6
51,Purdue,+7.8,+6.7,+7.0,+9.0,+6.7,+2.2
52,Wyoming,+7.6,+5.3,-8.0,+10.3,-3.0,-2.9
53,Texas,+7.5,+8.7,+4.0,+14.3,-6.0,+2.7
54,Clemson,+7.4,+2.0,-1.0,+12.8,+0.3,+5.4
55,UCLA,+7.2,+8.7,+21.0,+8.8,-1.0,+2.8
56,Miami OH,+7.0,+1.7,+7.0,+9.0,+1.0,+0.6
56,Northwestern,+7.0,+1.0,0.0,+13.0,+1.0,+3.0
58,Nebraska,+6.8,-0.7,-9.0,+14.3,-0.7,+2.7
58,Kansas St,+6.8,+6.0,+9.0,+4.8,+11.0,-0.1
60,Murray St,+6.7,+3.7,+10.0,+12.0,+2.8,+2.0
61,Seattle,+6.6,+9.3,+12.0,+5.3,+12.0,+0.5
62,UT Martin,+6.4,+3.3,+9.0,--,+6.4,-1.1
63,Cincinnati,+6.3,+7.3,+13.0,+10.4,-14.0,+2.4
64,Indiana,+6.2,+5.0,+4.0,+6.5,+5.0,+3.4
64,Florida,+6.2,+5.7,+8.0,+9.7,+1.0,+8.2
64,SF Austin,+6.2,+4.7,+11.0,+9.0,+4.3,-1.8
67,Winthrop,+6.2,+14.7,+18.0,+25.0,+2.4,+0.3
67,Georgia Tech,+6.2,+5.3,+17.0,+8.2,-4.0,-1.6
69,Houston,+6.0,+6.0,-3.0,+10.5,-3.0,+5.0
69,Notre Dame,+6.0,-2.3,-3.0,+10.8,-3.5,-0.2
69,Drake,+6.0,+5.0,+6.0,+4.5,+7.5,+1.8
69,Rhode Island,+6.0,+7.7,-3.0,+11.3,+0.7,+1.3
69,Georgetown,+6.0,+5.3,0.0,+6.3,+5.0,+2.4
74,Texas Tech,+5.8,+1.7,-7.0,+11.0,+0.7,+6.2
75,Washington,+5.8,+1.0,+8.0,+11.3,-2.5,-1.3
