Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Seton Hall,27.5,27.3,41.0,24.8,41.0,35.7
2,Houston,29.0,30.0,33.0,26.0,35.0,31.4
3,TCU,29.2,26.0,17.0,29.2,,36.4
4,Syracuse,29.4,29.3,30.0,33.0,24.0,41.2
5,Gonzaga,29.7,33.0,43.0,21.3,38.0,36.7
6,Wichita St,30.0,32.0,28.0,30.0,30.0,39.0
7,Duke,30.4,31.3,38.0,31.0,29.7,32.6
8,Hou Christian,30.5,30.5,18.0,18.0,43.0,38.3
9,N Iowa,30.8,32.0,38.0,29.0,38.0,33.4
9,Towson,30.8,31.3,34.0,15.0,34.8,33.7
11,Miami,30.8,32.0,22.0,28.4,43.0,41.5
12,E Tennessee St,31.0,27.0,22.0,28.0,35.5,34.6
13,Georgia Tech,31.2,35.7,32.0,28.2,46.0,38.4
14,George Mason,31.4,30.0,36.0,30.3,36.0,33.6
15,Boston College,32.0,32.0,44.0,27.7,35.3,37.5
16,Fordham,32.3,31.3,24.0,29.7,40.0,41.3
17,Louisiana Tech,32.3,32.3,30.0,24.0,36.5,35.0
18,Drake,32.5,30.0,37.0,26.5,38.5,32.0
18,Abl Christian,32.5,32.0,24.0,34.0,32.0,36.8
20,Loyola Mymt,32.7,34.0,35.0,37.3,28.0,39.0
21,Saint Mary's,32.8,32.7,33.0,32.8,,33.1
21,C Connecticut,32.8,33.7,42.0,42.0,30.5,31.9
23,Rutgers,33.2,34.0,29.0,34.0,29.0,38.9
24,Belmont,33.2,31.3,29.0,38.7,25.0,41.4
24,Michigan,33.2,26.7,21.0,35.5,31.7,36.3
26,Georgia,33.3,36.7,39.0,31.6,37.5,38.4
27,Boise St,33.4,32.0,36.0,32.8,36.0,36.1
28,Pittsburgh,33.4,33.3,36.0,31.6,38.0,36.4
29,Marist,33.5,32.3,43.0,38.0,29.0,33.3
30,Norfolk St,33.6,31.7,36.0,37.5,31.0,37.2
30,Seattle,33.6,32.7,28.0,35.0,28.0,35.4
32,UCLA,33.7,32.0,24.0,32.2,41.0,35.1
33,Michigan St,33.8,35.7,31.0,32.5,39.0,35.2
33,Indiana St,33.8,33.0,24.0,25.0,39.7,40.9
33,Villanova,33.8,34.3,27.0,37.7,28.0,36.8
33,Utah St,33.8,32.0,30.0,31.5,35.3,37.7
37,New Haven,33.8,28.7,26.0,35.0,32.7,
38,West Virginia,33.9,40.3,42.0,30.0,43.5,34.6
39,North Carolina,34.0,34.0,30.0,34.0,,37.9
39,Missouri,34.0,34.0,26.0,32.6,41.0,39.4
39,Northwestern,34.0,40.3,43.0,27.7,40.3,36.6
39,Creighton,34.0,27.7,37.0,29.0,41.5,36.6
39,Kansas,34.0,31.3,29.0,26.7,41.3,34.9
44,Siena,34.2,34.7,30.0,36.3,32.0,37.1
44,Columbia,34.2,31.7,28.0,31.0,37.3,40.9
44,Louisville,34.2,32.7,29.0,34.6,32.0,38.2
47,UT Martin,34.2,34.0,29.0,,34.2,36.7
47,LSU,34.2,38.7,36.0,34.2,,40.7
49,Alabama A&M,34.3,34.3,33.0,31.5,40.0,42.3
50,Bowling Green,34.4,43.0,42.0,28.0,44.0,39.5
50,Lehigh,34.4,38.0,41.0,35.5,33.7,36.4
52,BYU,34.6,37.0,37.0,29.5,38.0,38.3
53,Dayton,34.7,37.3,35.0,33.3,37.5,37.6
54,VCU,34.8,35.0,30.0,31.0,40.5,33.4
54,SF Austin,34.8,34.0,28.0,33.5,35.7,36.3
56,Cincinnati,34.8,34.7,39.0,32.6,46.0,35.2
57,Iowa St,35.0,37.3,37.0,31.0,41.0,35.0
57,Wisconsin,35.0,36.7,53.0,30.5,53.0,38.1
57,SIU Edward,35.0,39.3,31.0,32.0,35.6,33.6
57,Tennessee,35.0,36.3,30.0,36.0,30.0,33.4
61,Boston U,35.2,33.0,39.0,44.5,30.5,36.3
61,Bradley,35.2,34.3,30.0,35.7,34.7,35.8
61,Maine,35.2,35.0,25.0,33.5,36.0,36.0
61,Kentucky,35.2,33.0,26.0,32.3,41.0,39.9
65,Iowa,35.2,36.0,30.0,35.2,,42.1
65,Indiana,35.2,36.0,35.0,34.3,39.0,35.7
65,Cal Baptist,35.2,31.3,37.0,35.3,35.0,37.1
68,Brown,35.3,29.7,30.0,36.0,34.3,37.0
68,Clemson,35.3,38.0,40.0,31.5,40.3,33.0
70,UConn,35.3,38.7,28.0,32.0,52.0,34.2
71,Harvard,35.5,40.7,43.0,35.0,35.8,37.8
71,Coastal Car,35.5,31.7,39.0,36.0,35.4,39.8
